Date,Day of the week,App (Use all CAPITALS),Minutes,Category
8/23/23,Wednesday,DISCORD,624,Social Media
8/23/23,Wednesday,PIXEL GUN,24,Entertainment
8/23/23,Wednesday,YOUTUBE,24,Entertainment
8/23/23,Wednesday,CLASH ROYALE,4,Entertainment
8/23/23,Wednesday,MORTAL KOMBAT,2,Entertainment
8/24/23,Thursday,DISCORD,98,Social Media
8/24/23,Thursday,INSTACART,4,Other
8/24/23,Thursday,YOUTUBE,1,Entertainment
8/25/23,Friday,YOUTUBE,251,Entertainment
8/25/23,Friday,DISCORD,62,Social Media
8/25/23,Friday,SAFARI,17,Other
8/25/23,Friday,MORTAL KOMBAT ,5,Entertainment
8/26/23,Saturday,YOUTUBE,246,Entertainment
8/26/23,Saturday,CLASH ROYALE,69,Entertainment
8/26/23,Saturday,PVZ2,55,Entertainment
8/26/23,Saturday,DISCORD,5,Social Media
8/26/23,Saturday,MESSAGES,4,Social Media
8/27/23,Sunday,DISCORD,228,Social Media
8/27/23,Sunday,YOUTUBE,41,Entertainment
8/27/23,Sunday,PVZ2 ,5,Entertainment
8/27/23,Sunday,MESSAGES,1,Social Media
8/28/23,Monday,DISCORD,210,Social Media
8/29/23,Tuesday,DISCORD,37,Social Media
8/29/23,Tuesday,YOUTUBE,12,Entertainment
8/29/23,Tuesday,SAFARI,2,Other
